symbol,is_russell3000,is_russell1000,is_russell2000,is_sp500,is_nasdaq100,is_custom
CMG,1,1,0,1,1,0
CMI,1,1,0,0,0,0
CMP,1,0,1,0,0,0
CMPR,1,0,1,0,0,0
CMPX,1,0,1,0,0,0
CMRC,1,0,1,0,0,0
CMRE,1,0,1,0,0,0
CMS,1,1,0,0,0,0
CMT,1,0,1,0,0,0
CMTG,1,0,1,0,0,0
CNA,1,1,0,0,0,0
CNC,1,1,0,0,0,0
CNDT,1,0,1,0,0,0
CNH,1,1,0,0,0,0
CNK,1,0,1,0,0,0
CNM,1,1,0,0,0,0
CNMD,1,0,1,0,0,0
CNNE,1,0,1,0,0,0
CNO,1,0,1,0,0,0
CNOB,1,0,1,0,0,0
CNP,1,1,0,0,0,0
CNR,1,0,1,0,0,0
CNS,1,0,1,0,0,0
CNX,1,0,1,0,0,0
CNXC,1,1,0,0,0,0
CNXN,1,0,1,0,0,0
COCO,1,0,1,0,0,0
CODI,1,0,1,0,0,0
COF,1,1,0,0,0,0
COFS,1,0,1,0,0,0
COGT,1,0,1,0,0,0
COHR,1,1,0,0,0,0
COHU,1,0,1,0,0,0
COIN,1,1,0,0,0,0
COKE,1,1,0,0,0,0
COLB,1,1,0,0,0,0
COLD,1,1,0,0,0,0
COLL,1,0,1,0,0,0
COLM,1,1,0,0,0,0
COMP,1,0,1,0,0,0
CON,1,0,1,0,0,0
COO,1,1,0,0,0,0
COOK,0,0,1,0,0,0
COP,1,1,0,1,0,0
COR,1,1,0,0,0,0
CORT,1,1,0,0,0,0
CORZ,1,0,1,0,0,0
COSO,0,0,1,0,0,0
COST,1,1,0,1,1,0
COTY,1,1,0,0,0,0
COUR,1,0,1,0,0,0
CPAY,1,1,0,0,0,0
CPB,1,1,0,0,0,0
CPF,1,0,1,0,0,0
CPK,1,0,1,0,0,0
CPNG,1,1,0,0,0,0
CPRI,1,0,1,0,0,0
CPRT,1,1,0,0,1,0
CPRX,1,0,1,0,0,0
CPS,1,0,1,0,0,0
CPSS,0,0,1,0,0,0
CPT,1,1,0,0,0,0
CR,1,1,0,0,0,0
CRAI,1,0,1,0,0,0
CRC,1,0,1,0,0,0
CRCL,1,1,0,0,0,0
CRCT,1,0,1,0,0,0
CRDA,0,0,1,0,0,0
CRDF,0,0,1,0,0,0
CRDO,1,0,1,0,0,0
CRGY,1,0,1,0,0,0
CRH,1,1,0,0,0,0
CRI,1,0,1,0,0,0
CRK,1,0,1,0,0,0
CRL,1,1,0,0,0,0
CRM,1,1,0,1,0,0
CRMD,1,0,1,0,0,0
CRML,0,0,1,0,0,0
CRMT,1,0,1,0,0,0
CRNC,1,0,1,0,0,0
CRNX,1,0,1,0,0,0
CROX,1,1,0,0,0,0
CRS,1,1,0,0,0,0
CRSP,1,0,1,0,0,0
CRSR,1,0,1,0,0,0
CRUS,1,1,0,0,0,0
CRVL,1,0,1,0,0,0
CRVS,1,0,1,0,0,0
CRWD,1,1,0,0,1,0
CSCO,1,1,0,1,1,0
CSGP,1,1,0,0,0,0
CSGS,1,0,1,0,0,0
CSL,1,1,0,0,0,0
CSPI,0,0,1,0,0,0
CSR,1,0,1,0,0,0
CSTL,1,0,1,0,0,0
CSTM,1,0,1,0,0,0
CSV,1,0,1,0,0,0
CSW,1,0,1,0,0,0
CSX,1,1,0,0,0,0
CTAS,1,1,0,0,1,0
CTBI,1,0,1,0,0,0
CTEV,0,0,1,0,0,0
CTGO,0,0,1,0,0,0
CTKB,1,0,1,0,0,0
CTLP,1,0,1,0,0,0
CTO,1,0,1,0,0,0
CTOS,1,0,1,0,0,0
CTRA,1,1,0,0,0,0
CTRE,1,0,1,0,0,0
CTRI,1,0,1,0,0,0
CTRN,0,0,1,0,0,0
CTS,1,0,1,0,0,0
CTSH,1,1,0,0,1,0
CTVA,1,1,0,0,0,0
CUBE,1,1,0,0,0,0
CUBI,1,0,1,0,0,0
CURB,1,0,1,0,0,0
CURI,0,0,1,0,0,0
CURV,0,0,1,0,0,0
CUZ,1,1,0,0,0,0
CV,0,0,1,0,0,0
CVBF,1,0,1,0,0,0
CVCO,1,0,1,0,0,0
CVGW,1,0,1,0,0,0
CVI,1,0,1,0,0,0
CVLG,1,0,1,0,0,0
CVLT,1,0,1,0,0,0
CVNA,1,1,0,0,0,0
CVRX,1,0,1,0,0,0
CVS,1,1,0,0,0,0
CVX,1,1,0,1,0,0
CW,1,1,0,0,0,0
CWAN,1,0,1,0,0,0
CWBC,1,0,1,0,0,0
CWCO,1,0,1,0,0,0
CWEN,1,1,0,0,0,0
CWENA,1,1,0,0,0,0
CWH,1,0,1,0,0,0
CWK,1,0,1,0,0,0
CWST,1,0,1,0,0,0
CWT,1,0,1,0,0,0
CXDO,0,0,1,0,0,0
CXM,1,0,1,0,0,0
CXT,1,1,0,0,0,0
CXW,1,0,1,0,0,0
CYH,1,0,1,0,0,0
CYRX,1,0,1,0,0,0
CYTK,1,0,1,0,0,0
CZFS,1,0,1,0,0,0
CZNC,1,0,1,0,0,0
CZR,1,1,0,0,0,0
CZWI,0,0,1,0,0,0
D,1,1,0,0,0,0
DAKT,1,0,1,0,0,0
DAL,1,1,0,0,0,0
DAN,1,0,1,0,0,0
DAR,1,1,0,0,0,0
DASH,1,1,0,0,0,0
DAVE,1,0,1,0,0,0
DAWN,1,0,1,0,0,0
DBD,1,0,1,0,0,0
DBI,1,0,1,0,0,0
DBRG,1,0,1,0,0,0
DBX,1,1,0,0,0,0
DC,1,0,1,0,0,0
DCGO,1,0,1,0,0,0
DCH,1,0,1,0,0,0
